transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1476,61,59.44292,24.74923,62,,Z,Äigrumäe,2026-05-23 07:15:05+03,2026-05-23
2,8,1710,18,59.42987,24.69165,276,,Z,Väike-Õismäe,2026-05-23 07:15:05+03,2026-05-23
2,8,3393,91,59.42387,24.64905,39,,Z,Äigrumäe,2026-05-23 07:15:05+03,2026-05-23
2,8,1186,49,59.48986,24.88047,157,,Z,Äigrumäe,2026-05-23 07:15:35+03,2026-05-23
2,8,1236,34,59.45422,24.80847,202,,Z,Väike-Õismäe,2026-05-23 07:15:35+03,2026-05-23
2,8,1474,2,59.41192,24.63538,117,,Z,Väike-Õismäe,2026-05-23 07:15:35+03,2026-05-23
2,8,1476,61,59.44347,24.75031,76,,Z,Äigrumäe,2026-05-23 07:15:35+03,2026-05-23
2,8,1710,18,59.42985,24.68962,268,,Z,Väike-Õismäe,2026-05-23 07:15:35+03,2026-05-23
2,8,3393,91,59.42533,24.65498,67,,Z,Äigrumäe,2026-05-23 07:15:35+03,2026-05-23
2,8,1186,49,59.48931,24.88081,163,,Z,Äigrumäe,2026-05-23 07:16:05+03,2026-05-23
2,8,1236,34,59.45143,24.80675,199,,Z,Väike-Õismäe,2026-05-23 07:16:05+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:16:05+03,2026-05-23
2,8,1476,61,59.44326,24.75096,76,,Z,Äigrumäe,2026-05-23 07:16:05+03,2026-05-23
2,8,1710,18,59.42927,24.68261,258,,Z,Väike-Õismäe,2026-05-23 07:16:05+03,2026-05-23
2,8,3393,91,59.42627,24.65902,66,,Z,Äigrumäe,2026-05-23 07:16:05+03,2026-05-23
2,8,1186,49,59.48644,24.88202,151,,Z,Äigrumäe,2026-05-23 07:16:35+03,2026-05-23
2,8,1236,34,59.44896,24.80381,216,,Z,Väike-Õismäe,2026-05-23 07:16:35+03,2026-05-23
2,8,1474,2,59.41194,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:16:35+03,2026-05-23
