stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
1226,10602-1,Suur Rannavärav,,59.44343,24.75029,,,,1226,2026-05-23,gtfs
5501,12307-1,Tornimäe,,59.43373,24.76063,,,,5501,2026-05-23,gtfs
126456,12309-1,Tornimäe,,59.43319,24.76136,,,,40,2026-05-23,gtfs
147047,10709-1,Pikksilma,,59.44357,24.77992,,,,6163,2026-05-23,gtfs
147048,10710-1,Pikksilma,,59.44338,24.78266,,,,6164,2026-05-23,gtfs
147024,11806-1,Reidi tee,,59.44286,24.78875,,,,6157,2026-05-23,gtfs
147045,10707-1,Uus-Sadama,,59.44131,24.76954,,,,6161,2026-05-23,gtfs
147046,10708-1,Uus-Sadama,,59.44158,24.77202,,,,6162,2026-05-23,gtfs
159198,12229-1,Linnahall,,59.44491,24.75517,,,,5793,2026-05-23,gtfs
159199,12230-1,Linnahall,,59.44501,24.75494,,,,5795,2026-05-23,gtfs
1241,11102-1,Koidu,,59.42923,24.72955,,,,1241,2026-05-23,gtfs
162020,16017-1,Uus Maailm,,59.4273,24.74137,,,,6715,2026-05-23,gtfs
1264,11604-1,Bussijaam,,59.42857,24.77622,,,,1264,2026-05-23,gtfs
11607,11606-2,Bussijaam,,59.42828,24.7767,,,,11607,2026-05-23,gtfs
11609,11605-2,Bussijaam,,59.42754,24.77773,,,,11609,2026-05-23,gtfs
11610,11603-2,Bussijaam,,59.42816,24.77695,,,,11610,2026-05-23,gtfs
129019,13603-1,Kanali tee,,59.40837,24.80627,,,,155,2026-05-23,gtfs
133530,13304-1,Kanali tee,,59.40778,24.80649,,,,3220,2026-05-23,gtfs
11605,11707-1,Keskturg,,59.43182,24.76779,,,,11605,2026-05-23,gtfs
11606,11702-2,Keskturg,,59.43192,24.76757,,,,11606,2026-05-23,gtfs
11611,11706-1,Keskturg,,59.4316,24.76755,,,,11611,2026-05-23,gtfs
11612,11701-2,Keskturg,,59.43163,24.76849,,,,11612,2026-05-23,gtfs
138901,13516-1,Lennujaam,,59.41646,24.79659,,,,5726,2026-05-23,gtfs
1349,13005-1,Lindakivi,,59.41963,24.79161,,,,1349,2026-05-23,gtfs
1350,13006-1,Lindakivi,,59.41953,24.79254,,,,1350,2026-05-23,gtfs
4430,23152-1,Mõigu,,59.40434,24.81063,,,,4430,2026-05-23,gtfs
4431,23151-1,Mõigu,,59.40489,24.81052,,,,4431,2026-05-23,gtfs
130009,43168-1,Oomi,,59.40266,24.81273,,,,206,2026-05-23,gtfs
1316,12302-1,Paberi,,59.43354,24.76246,,,,1316,2026-05-23,gtfs
1317,12303-1,Paberi,,59.43353,24.76231,,,,1317,2026-05-23,gtfs
12742,13606-1,Pühamägi,,59.41124,24.80213,,,,12742,2026-05-23,gtfs
1346,13001-1,Sossimägi,,59.42531,24.78336,,,,1346,2026-05-23,gtfs
1347,13002-1,Sossimägi,,59.42448,24.78432,,,,1347,2026-05-23,gtfs
